brokered_by,status,price,bed,bath,acre_lot,street,city,state,zip_code,house_size,prev_sold_date,zip_code_encoded,street_encoded
56379.0,0,449995.0,3.0,3.0,1.31,1281210.0,Negley,Ohio,44441.0,3568.0,1993-03-25,275000.0,449995.0
21109.0,0,299000.0,3.0,2.0,1.24,1114581.0,New Waterford,Ohio,44445.0,1870.0,,190000.0,299000.0
52584.0,0,275000.0,4.0,3.0,0.78,1284696.0,Negley,Ohio,44441.0,2058.0,1992-06-09,275000.0,275000.0
37253.0,0,99900.0,3.0,1.0,0.32,1674715.0,Brilliant,Ohio,43913.0,1860.0,,87450.0,99900.0
19178.0,0,70000.0,2.0,1.0,0.45,1633526.0,Mingo Junction,Ohio,43938.0,1140.0,,74900.0,70000.0
57311.0,0,99900.0,2.0,2.0,0.21,1635870.0,Negley,Ohio,44441.0,1618.0,,275000.0,99900.0
101698.0,0,169900.0,3.0,2.0,0.56,1765312.0,Negley,Ohio,44441.0,1680.0,2020-09-17,275000.0,169900.0
56379.0,0,180000.0,2.0,2.0,0.49,1512014.0,East Palestine,Ohio,44413.0,1421.0,2021-10-18,118900.0,180000.0
96257.0,0,299000.0,4.0,2.0,20.0,1781309.0,Rogers,Ohio,44455.0,1568.0,2013-05-13,276950.0,299000.0
52584.0,0,349900.0,3.0,3.0,0.91,564333.0,Columbiana,Ohio,44408.0,1650.0,,184000.0,349900.0
42213.0,0,245000.0,3.0,2.0,1.0,1812338.0,Rogers,Ohio,44455.0,2298.0,2017-11-21,276950.0,245000.0
33749.0,0,79900.0,2.0,1.0,0.5,1455365.0,Brilliant,Ohio,43913.0,744.0,,87450.0,79900.0
104440.0,0,240000.0,2.0,3.0,12.25,702163.0,East Palestine,Ohio,44413.0,1004.0,,118900.0,240000.0
104440.0,0,73500.0,2.0,1.0,0.12,1291233.0,East Palestine,Ohio,44413.0,896.0,2005-04-01,118900.0,71700.0
42526.0,0,23500.0,3.0,1.0,0.1,966994.0,Mingo Junction,Ohio,43938.0,1029.0,,74900.0,21500.0
79431.0,0,99500.0,3.0,2.0,0.38,1644439.0,East Palestine,Ohio,44413.0,1748.0,,118900.0,99500.0
13946.0,0,295000.0,3.0,3.0,0.91,1292081.0,Negley,Ohio,44441.0,1607.0,2018-03-13,275000.0,295000.0
56379.0,0,128000.0,3.0,1.0,1.64,1631765.0,Negley,Ohio,44441.0,1088.0,,275000.0,128000.0
101766.0,0,169900.0,3.0,2.0,0.38,720574.0,Youngstown,Ohio,44511.0,2175.0,2020-04-15,127250.0,169900.0
45807.0,0,249000.0,3.0,3.0,0.66,1130991.0,Austintown,Ohio,44511.0,1972.0,,127250.0,249000.0
101766.0,0,63900.0,3.0,2.0,0.17,341272.0,Youngstown,Ohio,44502.0,1552.0,2009-11-30,49900.0,63900.0
10634.0,0,162000.0,3.0,1.0,0.24,404781.0,Youngstown,Ohio,44515.0,1260.0,2006-10-24,139900.0,162000.0
5831.0,0,39900.0,3.0,3.0,0.15,399470.0,Youngstown,Ohio,44506.0,1550.0,2006-09-06,50950.0,39900.0
33749.0,0,350000.0,5.0,6.0,0.78,427236.0,Youngstown,Ohio,44512.0,4584.0,2007-10-23,147200.0,350000.0
51722.0,0,60000.0,3.0,2.0,0.45,986334.0,Struthers,Ohio,44471.0,1132.0,2018-05-21,95000.0,60000.0
52584.0,0,150000.0,3.0,2.0,0.85,1126953.0,Lisbon,Ohio,44432.0,1350.0,,139900.0,157500.0
62790.0,0,140000.0,3.0,1.0,0.68,470742.0,Youngstown,Ohio,44505.0,1296.0,,122500.0,140000.0
37253.0,0,198000.0,3.0,3.0,0.31,1006067.0,Steubenville,Ohio,43953.0,1196.0,,165000.0,198000.0
10634.0,0,215000.0,4.0,3.0,0.36,890306.0,Poland,Ohio,44514.0,1725.0,,189900.0,215000.0
15832.0,0,119900.0,4.0,1.0,0.25,285005.0,Warren,Ohio,44484.0,1190.0,2009-01-23,142900.0,119900.0
45802.0,0,950000.0,4.0,5.0,163.73,1374018.0,Vienna,Ohio,44473.0,6000.0,1992-09-30,199900.0,950000.0
45712.0,0,314500.0,3.0,2.0,0.34,1266128.0,Canfield,Ohio,44406.0,1887.0,,240000.0,314500.0
45712.0,0,332500.0,3.0,2.0,0.34,1264073.0,Canfield,Ohio,44406.0,1887.0,,240000.0,332500.0
45712.0,0,300500.0,3.0,2.0,0.34,1270153.0,Canfield,Ohio,44406.0,1887.0,,240000.0,300500.0
